Date and Time, Julian Day, RA (J2000), Dec (J2000), mag, phase, "dist., AU", elong.
2021-11-13 00:00:00, 2459531.50000,   15h12m19.8s, -17°52'38.0", -26.62, —, 0.989708, —
2021-11-14 00:00:00, 2459532.50000,   15h16m24.8s, -18°08'30.9", -26.62, —, 0.989476, —
2021-11-15 00:00:00, 2459533.50000,   15h20m30.6s, -18°24'04.7", -26.62, —, 0.989247, —
2021-11-16 00:00:00, 2459534.50000,   15h24m37.3s, -18°39'18.9", -26.62, —, 0.989023, —
2021-11-17 00:00:00, 2459535.50000,   15h28m44.8s, -18°54'13.4", -26.62, —, 0.988802, —
2021-11-18 00:00:00, 2459536.50000,   15h32m53.1s, -19°08'47.6", -26.62, —, 0.988587, —
2021-11-19 00:00:00, 2459537.50000,   15h37m02.2s, -19°23'01.3", -26.62, —, 0.988376, —
2021-11-20 00:00:00, 2459538.50000,   15h41m12.2s, -19°36'54.1", -26.62, —, 0.988169, —
2021-11-21 00:00:00, 2459539.50000,   15h45m22.9s, -19°50'25.6", -26.62, —, 0.987968, —
2021-11-22 00:00:00, 2459540.50000,   15h49m34.5s, -20°03'35.4", -26.62, —, 0.987771, —
2021-11-23 00:00:00, 2459541.50000,   15h53m46.9s, -20°16'23.3", -26.62, —, 0.987579, —
2021-11-24 00:00:00, 2459542.50000,   15h58m00.1s, -20°28'48.9", -26.62, —, 0.987391, —
2021-11-25 00:00:00, 2459543.50000,   16h02m14.1s, -20°40'51.9", -26.62, —, 0.987209, —
2021-11-26 00:00:00, 2459544.50000,   16h06m28.8s, -20°52'31.8", -26.62, —, 0.987030, —
2021-11-27 00:00:00, 2459545.50000,   16h10m44.4s, -21°03'48.5", -26.62, —, 0.986856, —
2021-11-28 00:00:00, 2459546.50000,   16h15m00.6s, -21°14'41.5", -26.62, —, 0.986686, —
2021-11-29 00:00:00, 2459547.50000,   16h19m17.6s, -21°25'10.6", -26.62, —, 0.986520, —
2021-11-30 00:00:00, 2459548.50000,   16h23m35.3s, -21°35'15.4", -26.62, —, 0.986358, —
2021-12-01 00:00:00, 2459549.50000,   16h27m53.7s, -21°44'55.6", -26.62, —, 0.986199, —
2021-12-02 00:00:00, 2459550.50000,   16h32m12.8s, -21°54'10.9", -26.62, —, 0.986043, —
2021-12-03 00:00:00, 2459551.50000,   16h36m32.5s, -22°03'01.1", -26.62, —, 0.985890, —
2021-12-04 00:00:00, 2459552.50000,   16h40m52.8s, -22°11'25.7", -26.62, —, 0.985740, —
2021-12-05 00:00:00, 2459553.50000,   16h45m13.7s, -22°19'24.6", -26.62, —, 0.985593, —
2021-12-06 00:00:00, 2459554.50000,   16h49m35.2s, -22°26'57.5", -26.62, —, 0.985448, —
2021-12-07 00:00:00, 2459555.50000,   16h53m57.2s, -22°34'04.1", -26.62, —, 0.985306, —
2021-12-08 00:00:00, 2459556.50000,   16h58m19.7s, -22°40'44.2", -26.62, —, 0.985168, —
2021-12-09 00:00:00, 2459557.50000,   17h02m42.6s, -22°46'57.5", -26.62, —, 0.985033, —
2021-12-10 00:00:00, 2459558.50000,   17h07m06.0s, -22°52'43.9", -26.62, —, 0.984902, —
2021-12-11 00:00:00, 2459559.50000,   17h11m29.8s, -22°58'03.1", -26.62, —, 0.984775, —
2021-12-12 00:00:00, 2459560.50000,   17h15m54.0s, -23°02'55.1", -26.62, —, 0.984653, —
2021-12-13 00:00:00, 2459561.50000,   17h20m18.5s, -23°07'19.6", -26.62, —, 0.984536, —
2021-12-14 00:00:00, 2459562.50000,   17h24m43.3s, -23°11'16.6", -26.62, —, 0.984424, —
2021-12-15 00:00:00, 2459563.50000,   17h29m08.4s, -23°14'45.8", -26.62, —, 0.984318, —
2021-12-16 00:00:00, 2459564.50000,   17h33m33.8s, -23°17'47.2", -26.62, —, 0.984217, —
2021-12-17 00:00:00, 2459565.50000,   17h37m59.4s, -23°20'20.8", -26.62, —, 0.984122, —
2021-12-18 00:00:00, 2459566.50000,   17h42m25.2s, -23°22'26.3", -26.62, —, 0.984033, —
2021-12-19 00:00:00, 2459567.50000,   17h46m51.1s, -23°24'03.8", -26.62, —, 0.983951, —
2021-12-20 00:00:00, 2459568.50000,   17h51m17.2s, -23°25'13.1", -26.62, —, 0.983874, —
2021-12-21 00:00:00, 2459569.50000,   17h55m43.4s, -23°25'54.3", -26.62, —, 0.983803, —
2021-12-22 00:00:00, 2459570.50000,   18h00m09.7s, -23°26'07.4", -26.62, —, 0.983739, —
2021-12-23 00:00:00, 2459571.50000,   18h04m36.0s, -23°25'52.2", -26.62, —, 0.983680, —
2021-12-24 00:00:00, 2459572.50000,   18h09m02.3s, -23°25'08.8", -26.62, —, 0.983628, —
2021-12-25 00:00:00, 2459573.50000,   18h13m28.6s, -23°23'57.2", -26.62, —, 0.983581, —
2021-12-26 00:00:00, 2459574.50000,   18h17m54.9s, -23°22'17.5", -26.62, —, 0.983540, —
2021-12-27 00:00:00, 2459575.50000,   18h22m21.1s, -23°20'09.6", -26.63, —, 0.983504, —
2021-12-28 00:00:00, 2459576.50000,   18h26m47.1s, -23°17'33.6", -26.63, —, 0.983473, —
2021-12-29 00:00:00, 2459577.50000,   18h31m13.0s, -23°14'29.5", -26.63, —, 0.983447, —
2021-12-30 00:00:00, 2459578.50000,   18h35m38.8s, -23°10'57.6", -26.63, —, 0.983426, —
2021-12-31 00:00:00, 2459579.50000,   18h40m04.3s, -23°06'57.7", -26.63, —, 0.983409, —
